movie,lead
Andaaz,Akshay Kumar
Armaan (2003 film),Amitabh Bachchan
Chori Chori (2003 film),Ajay Devgn
Calcutta Mail,Anil Kapoor
Baaz: A Bird in Danger,Jackie Shroff
Basti (film),Sadashiv Amrapurkar
Magic Magic 3D,Sooraj Balaji
Dil Ka Rishta,Arjun Rampal
Darna Mana Hai,Sameera Reddy
Dhoop,Om Puri
Dhund (2003 film),Amar Upadhyaya
Chura Liyaa Hai Tumne,Zayed Khan
The Bypass,Nawazuddin Siddiqui
Dum (2003 Hindi film),Vivek Oberoi
Dil Pardesi Ho Gayaa,Kapil Jhaveri
Ek Alag Mausam,Nandita Das
Footpath (2003 film),Aftab Shivdasani
Escape from Taliban,Manisha Koirala
Ek Din 24 Ghante,Rahul Bose
Gangaajal,Ajay Devgn
Hawa (film),Tabu
Haasil,Jimmy Sheirgill
Ek Aur Ek Gyarah,Sanjay Dutt
Hungama (2003 film),Akshaye Khanna
Green Card Fever,Vikram Dasu
Flavors (film),Reef Karim
Indian Babu,Jaz Pandher
Fun2shh... Dudes in the 10th Century,Rushali Arora
Inteha (2003 film),Ashmit Patel
Jaal: The Trap,Sunny Deol
Ishq Vishk,Shahid Kapoor
Hawayein,Babbu Mann
Jajantaram Mamantaram,Javed Jaffrey
Jism (2003 film),Bipasha Basu
Jhankaar Beats,Sanjay Suri
Kagaar: Life on the Edge,Om Puri
Kash Aap Hamare Hote,Juhi Babbar
Khel – No Ordinary Game,Sunny Deol
Janasheen,Feroz Khan
Kaise Kahoon Ke... Pyaar Hai,Amit Hingorani
Khushi (2003 Hindi film),Fardeen Khan
Khwahish,Himanshu Malik
Kucch To Hai,Tusshar Kapoor
Kuch Naa Kaho,Aishwarya Rai Bachchan
Main Madhuri Dixit Banna Chahti Hoon,Antara Mali
Joggers' Park (film),Victor Banerjee
Market (2003 film),Manisha Koirala
Om (2003 film),Attin Bhalla
Out of Control (2003 film),Riteish Deshmukh
Mumbai Matinee,Rahul Bose
Matrubhoomi,Tulip Joshi
Parwana (2003 film),Ajay Devgn
Pinjar (film),Urmila Matondkar
Mumbai Se Aaya Mera Dost,Abhishek Bachchan
Saaya (2003 film),John Abraham
Samay: When Time Strikes,Sushmita Sen
Nayee Padosan,Vikas Kalantri
Satta (film),Raveena Tandon
Sssshhh...,Tanishaa Mukerji
Praan Jaye Par Shaan Na Jaye,Raveena Tandon
Raghu Romeo,Vijay Raaz
Stumped (film),Raveena Tandon
Rules: Pyaar Ka Superhit Formula,Tanuja
Right Here Right Now (film),Ankit
Raja Bhaiya (film),Sadashiv Amrapurkar
Tere Naam,Salman Khan
Tujhe Meri Kasam,Riteish Deshmukh
Talaash: The Hunt Begins...,Rakhee Gulzar
Tehzeeb (2003 film),Shabana Azmi
The Pink Mirror,Edwin Fernandes
Yeh Dil,Tusshar Kapoor
Xcuse Me,Sharman Joshi
Raaz (2002 film),Dino Morea
Zameen (2003 film),Ajay Devgn
Waisa Bhi Hota Hai Part II,Arshad Warsi
Devdas (2002 Hindi film),Shah Rukh Khan
Kaante,Amitabh Bachchan
Hum Tumhare Hain Sanam,Shah Rukh Khan
Aankhen (2002 film),Amitabh Bachchan
Saathiya (film),Vivek Oberoi
Company (film),Ajay Devgn
Awara Paagal Deewana,Akshay Kumar
